frame_id,num_total_objects,avg_confidence,min_confidence,scene_diversity_score,total_object_area_ratio,max_box_area,num_large_objects,num_vehicles,num_vrus,log_vehicle_to_vru_ratio,is_vru_present,num_anomalous_static,is_anomalous_static_object_present,num_objects_in_center_lane,avg_y_center_of_vehicles
frame_00970,9.0,0.7237730986542172,0.3657132685184479,2.0,0.13562039379888738,0.07208127175135015,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,3.0,0.5397890848772866
frame_00971,8.0,0.6608528345823288,0.2857157588005066,1.0,0.1753548379167171,0.09203614504841084,0.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,4.0,0.5006401091814041
frame_00972,8.0,0.6095954887568951,0.2879863977432251,2.0,0.1764405345188762,0.07179574724764848,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,4.0,0.5120542602879661
frame_00973,4.0,0.8323328495025635,0.7599500417709351,2.0,0.2516862298788859,0.13997452353255824,0.0,4.0,0.0,15.201805169084134,0.0,0.0,0.0,1.0,0.5540831461548805
frame_00974,8.0,0.5797034651041031,0.2587411403656006,2.0,0.49280056909185865,0.17083529492175842,2.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,4.0,0.5423651672899723
frame_00975,10.0,0.5176331877708436,0.25302520394325256,4.0,0.4080890746385226,0.18279158714577903,1.0,7.0,1.0,2.0794406666803282,1.0,0.0,0.0,3.0,0.5391041253294263
frame_00976,10.0,0.5539229422807693,0.2745414674282074,4.0,0.36612187492218695,0.14796088962746978,0.0,8.0,1.0,2.1972236884478242,1.0,0.0,0.0,2.0,0.5283761210739613
frame_00977,11.0,0.5509858917106282,0.28406310081481934,4.0,0.5188192614875382,0.15051216105153475,1.0,9.0,1.0,2.3025841929945408,1.0,0.0,0.0,3.0,0.5304252273506589
frame_00978,9.0,0.5647039910157522,0.3078450858592987,3.0,0.35477389739583726,0.14772770480303254,0.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,3.0,0.5285058617591858
frame_00979,12.0,0.5252050533890724,0.26514026522636414,4.0,0.3739248971178694,0.14634154890039142,0.0,10.0,1.0,2.3978943637079575,1.0,0.0,0.0,4.0,0.5188410997390747
frame_00980,12.0,0.5223190958301226,0.2706746459007263,4.0,0.5196254436776822,0.14974561001560094,0.0,10.0,1.0,2.3978943637079575,1.0,0.0,0.0,4.0,0.5249181836843491
frame_00981,11.0,0.5547954873605208,0.2959626317024231,3.0,0.49158668131145594,0.14725221288267853,0.0,10.0,0.0,16.118095750958314,0.0,0.0,0.0,5.0,0.5227481365203858
frame_00982,10.0,0.5697152495384217,0.3032362759113312,4.0,0.49897043892774484,0.1503384065889426,1.0,8.0,1.0,2.1972236884478242,1.0,0.0,0.0,3.0,0.5322527550160885
frame_00983,11.0,0.5251308110627261,0.26190292835235596,3.0,0.5290876205670978,0.14957663096173235,0.0,9.0,0.0,16.012735246411598,0.0,0.0,0.0,3.0,0.5299816826979319
frame_00984,13.0,0.5054580569267273,0.27108055353164673,4.0,0.5441483625942971,0.15063105907438512,1.0,10.0,1.0,2.3978943637079575,1.0,0.0,0.0,4.0,0.5238511800765991
frame_00985,11.0,0.5241124386137183,0.25475621223449707,4.0,0.36984711083575983,0.14918182948028225,0.0,9.0,1.0,2.3025841929945408,1.0,0.0,0.0,3.0,0.5225925776693556
frame_00986,12.0,0.49506357808907825,0.26881879568099976,3.0,0.5164095223164797,0.1503951405946502,1.0,11.0,0.0,16.213405921671733,0.0,0.0,0.0,3.0,0.5236467339775779
frame_00987,12.0,0.504529337088267,0.27288636565208435,4.0,0.5118624298077767,0.15048486048796939,1.0,10.0,1.0,2.3978943637079575,1.0,0.0,0.0,3.0,0.5276440531015396
frame_00988,9.0,0.6278144717216492,0.25468724966049194,3.0,0.3238967621068948,0.14476777011947561,0.0,7.0,0.0,15.76142084987672,0.0,0.0,0.0,3.0,0.5310832262039185
frame_00989,9.0,0.6482893096076118,0.2874567210674286,3.0,0.2842232896559218,0.13915844990426862,0.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,4.0,0.5374861843883991
frame_00990,9.0,0.640706244442198,0.26394590735435486,2.0,0.27557253100851214,0.09650223376685041,0.0,9.0,0.0,16.012735246411598,0.0,0.0,0.0,4.0,0.5785237815645006
frame_00991,8.0,0.6588269770145416,0.3103429675102234,2.0,0.15916964380069445,0.11285220022900955,0.0,8.0,0.0,15.894952224644102,0.0,0.0,0.0,3.0,0.5983389467000961
