frame_id,anomaly_score
frame_00389,-0.024422844900293006
frame_01381,-0.024455959791050974
frame_01306,-0.02454115910293564
frame_00412,-0.024557768022848092
frame_01443,-0.02460330178804876
frame_00537,-0.02466454303916854
frame_01867,-0.024832401229018752
frame_00027,-0.024938837368687072
frame_00514,-0.025074523421990846
frame_01469,-0.02508949897705537
frame_01454,-0.02511473954951038
frame_01491,-0.025140230657889895
frame_01231,-0.025156164456989816
frame_00551,-0.02522481955822803
frame_01849,-0.02532474702316162
frame_00392,-0.025340937066993474
frame_00490,-0.025655295253446897
frame_02046,-0.025698914855700195
frame_01776,-0.025714456974302136
frame_00391,-0.02574022226629491
frame_01864,-0.0257703064205842
frame_01242,-0.025781314168403013
frame_01270,-0.0258280432310542
frame_01191,-0.025934772925042204
frame_00555,-0.026036530963045812
frame_00084,-0.026127647091173045
frame_01733,-0.026144132265529918
frame_01927,-0.02617394462583006
frame_01204,-0.026360332377509232
frame_01485,-0.026413183519827854
frame_01422,-0.026573157136624503
frame_01227,-0.0266208210200784
frame_00052,-0.026783852615015202
frame_01742,-0.026794966809428722
frame_00536,-0.026812824044948003
frame_01068,-0.026884183710528753
frame_01236,-0.026978851447868102
frame_01364,-0.027005276483063112
frame_01371,-0.02711938094914018
frame_01432,-0.027121710584816883
frame_00053,-0.027417117903062227
frame_01747,-0.027468773716974648
frame_01939,-0.027516303404297837
frame_01224,-0.02755009922365581
frame_00529,-0.027603571951345995
frame_00409,-0.027703310596046915
frame_00534,-0.027858173437871836
frame_00373,-0.027917982265575236
frame_00587,-0.027995379691683142
frame_02039,-0.028043420872733482
frame_00408,-0.028103864288234692
frame_01310,-0.02813296624538769
frame_02007,-0.028144672008520277
frame_01503,-0.02827256987203247
frame_01354,-0.02831662011204278
frame_01915,-0.028326100655806097
frame_01745,-0.028418753279624287
frame_01407,-0.028490585655997436
frame_00304,-0.028536593570430313
frame_00871,-0.028567204267796353
frame_00374,-0.02859292230935756
frame_01962,-0.028609846609970957
frame_01778,-0.028827002141577796
frame_00372,-0.02889441271144705
frame_01201,-0.028909219495083127
frame_01866,-0.02906919742664671
frame_00709,-0.029096509146569527
frame_00716,-0.029202889344456417
frame_01237,-0.029213988325904716
frame_01190,-0.0292676424899439
frame_01423,-0.029311687545265863
frame_01311,-0.02951466315568768
frame_01206,-0.029655376191845495
frame_01442,-0.029729979479213964
frame_01493,-0.029732373625943498
frame_00707,-0.029744451593847865
frame_00488,-0.029765870522495463
frame_01071,-0.029768664157120373
frame_00085,-0.029799897384042817
frame_01492,-0.02985524083499541
frame_00024,-0.029909794616225338
frame_00585,-0.02996879803224689
frame_01740,-0.029972362587345758
frame_00371,-0.029990547850490157
frame_01199,-0.0300597513790124
frame_00706,-0.030261785675267383
frame_00874,-0.030309648176609028
frame_01455,-0.0304579730816254
frame_00038,-0.03046335348204987
frame_00363,-0.03057344609711915
frame_01938,-0.030579607260555475
frame_00388,-0.030750284089235247
frame_01525,-0.030910708326206293
frame_00037,-0.03105948544754039
frame_01862,-0.03107219348033341
frame_01907,-0.031138953863781016
frame_01361,-0.03126149958133151
frame_01273,-0.03140638821848579
frame_01821,-0.031496867786599214
frame_00516,-0.031579743996044574
frame_01687,-0.03164044005802197
frame_00405,-0.031663224255861266
frame_01730,-0.03179676630936046
frame_01208,-0.031853631226617996
frame_01412,-0.031961357711308924
frame_01262,-0.032023768488183835
frame_00394,-0.03204726867499347
frame_00548,-0.032091468210949714
frame_01228,-0.03220963888864298
